Age group,REF_DATE,Sex,"Persons with income of $10,000 and over","Persons with income of $100,000 and over","Persons with income of $15,000 and over","Persons with income of $150,000 and over","Persons with income of $20,000 and over","Persons with income of $200,000 and over","Persons with income of $25,000 and over","Persons with income of $250,000 and over","Persons with income of $35,000 and over","Persons with income of $5,000 and over","Persons with income of $50,000 and over","Persons with income of $75,000 and over","Persons with income under $5,000"
12 to 19 years,2007/2008,Females,223720.0,470.0,142230.0,130.0,93570.0,70.0,63200.0,50.0,26930.0,349860.0,6820.0,1210.0,157540.0
12 to 19 years,2007/2008,Males,231630.0,820.0,158700.0,250.0,114300.0,140.0,82520.0,90.0,39630.0,343970.0,12300.0,2300.0,158000.0
12 to 19 years,2009/2010,Females,223820.0,610.0,140910.0,150.0,91830.0,80.0,62000.0,40.0,28690.0,341640.0,8980.0,1620.0,167640.0
12 to 19 years,2009/2010,Males,227420.0,1010.0,151130.0,260.0,106970.0,120.0,77010.0,70.0,39080.0,332310.0,14040.0,2860.0,169800.0
12 to 19 years,2011/2012,Females,239290.0,790.0,150860.0,180.0,97600.0,70.0,65470.0,50.0,30820.0,349830.0,10200.0,2130.0,158950.0
12 to 19 years,2011/2012,Males,248290.0,1370.0,165880.0,320.0,116460.0,130.0,83980.0,70.0,43040.0,346250.0,16190.0,3680.0,160550.0
12 to 19 years,2013/2014,Females,239290.0,790.0,150860.0,180.0,97600.0,70.0,65470.0,50.0,30820.0,349830.0,10200.0,2130.0,158950.0
12 to 19 years,2013/2014,Males,248290.0,1370.0,165880.0,320.0,116460.0,130.0,83980.0,70.0,43040.0,346250.0,16190.0,3680.0,160550.0
25 to 34 years,2007/2008,Females,598840.0,13570.0,528610.0,3250.0,460580.0,1330.0,399840.0,680.0,288210.0,669090.0,148460.0,41880.0,78180.0
25 to 34 years,2007/2008,Males,548690.0,31920.0,497840.0,9660.0,455330.0,4900.0,414730.0,2960.0,329140.0,598870.0,205030.0,80230.0,52310.0
25 to 34 years,2009/2010,Females,621290.0,14550.0,548040.0,3260.0,477060.0,1280.0,411140.0,630.0,298610.0,689840.0,159560.0,47910.0,82530.0
25 to 34 years,2009/2010,Males,562650.0,31890.0,504290.0,9030.0,455830.0,4250.0,411290.0,2480.0,325600.0,614000.0,205510.0,82830.0,59230.0
25 to 34 years,2011/2012,Females,641020.0,17220.0,568040.0,3660.0,496270.0,1370.0,429070.0,650.0,315730.0,706700.0,176140.0,56580.0,81130.0
25 to 34 years,2011/2012,Males,597070.0,38150.0,536170.0,10320.0,484450.0,4790.0,437850.0,2750.0,349140.0,642850.0,226860.0,96350.0,56130.0
25 to 34 years,2013/2014,Females,641020.0,17220.0,568040.0,3660.0,496270.0,1370.0,429070.0,650.0,315730.0,706700.0,176140.0,56580.0,81130.0
25 to 34 years,2013/2014,Males,597070.0,38150.0,536170.0,10320.0,484450.0,4790.0,437850.0,2750.0,349140.0,642850.0,226860.0,96350.0,56130.0
35 to 44 years,2007/2008,Females,708020.0,46100.0,639430.0,15870.0,573160.0,8020.0,510500.0,4870.0,396130.0,778150.0,244530.0,111080.0,84690.0
35 to 44 years,2007/2008,Males,701930.0,106350.0,649420.0,45670.0,607140.0,27030.0,568600.0,18460.0,490700.0,748570.0,364440.0,202310.0,45940.0
35 to 44 years,2009/2010,Females,711310.0,49830.0,644040.0,16020.0,578070.0,7650.0,513850.0,4540.0,401170.0,777490.0,257720.0,122740.0,89980.0
35 to 44 years,2009/2010,Males,685830.0,108660.0,631800.0,44310.0,586230.0,25470.0,545360.0,17000.0,470890.0,727840.0,355780.0,205930.0,46820.0
35 to 44 years,2011/2012,Females,716760.0,57700.0,651020.0,18500.0,588130.0,8710.0,524930.0,4990.0,414500.0,779390.0,276080.0,139340.0,83610.0
35 to 44 years,2011/2012,Males,684890.0,121770.0,634500.0,48320.0,589920.0,27350.0,549870.0,18000.0,478600.0,719260.0,370770.0,224650.0,41860.0
35 to 44 years,2013/2014,Females,716760.0,57700.0,651020.0,18500.0,588130.0,8710.0,524930.0,4990.0,414500.0,779390.0,276080.0,139340.0,83610.0
35 to 44 years,2013/2014,Males,684890.0,121770.0,634500.0,48320.0,589920.0,27350.0,549870.0,18000.0,478600.0,719260.0,370770.0,224650.0,41860.0
45 to 64 years,2007/2008,Females,1064640.0,86180.0,945860.0,31530.0,854130.0,17210.0,767890.0,11270.0,608720.0,1179530.0,385540.0,189540.0,141790.0
45 to 64 years,2007/2008,Males,1107630.0,194110.0,1015300.0,92530.0,947520.0,58250.0,885700.0,42320.0,760880.0,1184800.0,569210.0,332690.0,79190.0
45 to 64 years,2009/2010,Females,1146930.0,99580.0,1016760.0,35220.0,919380.0,18500.0,824870.0,11930.0,660290.0,1262370.0,429970.0,216060.0,166920.0
45 to 64 years,2009/2010,Males,1182200.0,208140.0,1074720.0,96380.0,996410.0,59330.0,923440.0,42170.0,790300.0,1261660.0,594830.0,353330.0,93370.0
45 to 64 years,2011/2012,Females,1208180.0,118750.0,1075780.0,42620.0,972910.0,22310.0,876940.0,14210.0,710220.0,1318750.0,478190.0,248030.0,165540.0
45 to 64 years,2011/2012,Males,1242790.0,234700.0,1133260.0,107650.0,1048230.0,65720.0,974760.0,46520.0,842230.0,1316360.0,646000.0,394090.0,91630.0
45 to 64 years,2013/2014,Females,1208180.0,118750.0,1075780.0,42620.0,972910.0,22310.0,876940.0,14210.0,710220.0,1318750.0,478190.0,248030.0,165540.0
45 to 64 years,2013/2014,Males,1242790.0,234700.0,1133260.0,107650.0,1048230.0,65720.0,974760.0,46520.0,842230.0,1316360.0,646000.0,394090.0,91630.0
65 years and over,2007/2008,Females,631410.0,20570.0,520280.0,9070.0,346620.0,5310.0,260060.0,3540.0,164890.0,673080.0,90250.0,38280.0,25830.0
65 years and over,2007/2008,Males,509910.0,37650.0,450830.0,19450.0,363560.0,12570.0,301200.0,9130.0,210950.0,524520.0,127980.0,62640.0,20300.0
65 years and over,2009/2010,Females,672140.0,22070.0,560090.0,9270.0,372550.0,5280.0,280220.0,3520.0,180700.0,712820.0,100030.0,41830.0,28750.0
65 years and over,2009/2010,Males,545860.0,40860.0,483270.0,20760.0,389160.0,13230.0,323200.0,9480.0,230100.0,561500.0,140510.0,68860.0,22190.0
65 years and over,2011/2012,Females,728690.0,26960.0,617320.0,11210.0,426280.0,6370.0,318470.0,4230.0,210470.0,768530.0,120420.0,51430.0,30300.0
65 years and over,2011/2012,Males,595310.0,49660.0,535980.0,24900.0,429720.0,15820.0,356550.0,11210.0,261010.0,612670.0,165310.0,83200.0,22970.0
65 years and over,2013/2014,Females,728690.0,26960.0,617320.0,11210.0,426280.0,6370.0,318470.0,4230.0,210470.0,768530.0,120420.0,51430.0,30300.0
65 years and over,2013/2014,Males,595310.0,49660.0,535980.0,24900.0,429720.0,15820.0,356550.0,11210.0,261010.0,612670.0,165310.0,83200.0,22970.0
